nama,email,nomor_telepon,institusi,waktu_daftar
Budi Hidayat,budihidayat846@gmail.com,087028730844,ITS,2025-05-28T11:30:21
Farhan Hidayat,farhanhidayat865@gmail.com,084714390116,Politeknik Negeri Batam,2025-05-28T11:30:31
Dedi Wibowo,dediwibowo245@gmail.com,086656043552,UGM,2025-05-28T11:30:51
Indah Hidayat,indahhidayat278@gmail.com,088857092786,Binus,2025-05-28T11:31:01
Ayu Hidayat,ayuhidayat497@gmail.com,084470780437,UGM,2025-05-28T11:31:11
Eka Susanti,ekasusanti553@gmail.com,087831129012,UI,2025-05-28T11:31:21
Eka Nurhaliza,ekanurhaliza650@gmail.com,083765017330,ITS,2025-05-28T11:31:31
Indah Putra,indahputra824@gmail.com,086310078124,ITS,2025-05-28T11:31:41
Indah Saputra,indahsaputra763@gmail.com,082809071116,ITS,2025-05-28T11:31:51
Citra Utami,citrautami260@gmail.com,082973145550,Politeknik Negeri Batam,2025-05-28T11:32:01
Dedi Maulana,dedimaulana400@gmail.com,083835020850,Politeknik Negeri Batam,2025-05-28T11:32:11
Joko Sari,jokosari349@gmail.com,084470842000,UGM,2025-05-28T11:32:21
Indah Sari,indahsari768@gmail.com,083957148507,UI,2025-05-28T11:32:31
Indah Sari,indahsari545@gmail.com,086474176889,Binus,2025-05-28T11:32:41
Budi Sari,budisari887@gmail.com,083383383783,ITS,2025-05-28T11:32:51
Hendra Hidayat,hendrahidayat254@gmail.com,088889103378,ITS,2025-05-28T11:33:01
Hendra Utami,hendrautami708@gmail.com,089358904232,Binus,2025-05-28T11:33:11
Hendra Susanti,hendrasusanti373@gmail.com,088580742040,ITS,2025-05-28T11:33:21
Citra Saputra,citrasaputra881@gmail.com,081995225679,UI,2025-05-28T11:33:31
Citra Sari,citrasari116@gmail.com,085296876416,UI,2025-05-28T11:33:41
Gita Utami,gitautami992@gmail.com,087105292403,UGM,2025-05-28T11:33:51
Citra Susanti,citrasusanti342@gmail.com,084325089188,UI,2025-05-28T11:34:01
Indah Sari,indahsari601@gmail.com,082724723849,UI,2025-05-28T11:34:11
Budi Hidayat,budihidayat465@gmail.com,088691418374,ITS,2025-05-28T11:34:21
Budi Hidayat,budihidayat362@gmail.com,081734945941,ITS,2025-05-28T11:34:31
